Catalogue No.	Artist Name	Title	Object Type	Transaction
F-A2000	ANDREA DEL SARTO (Italian)	"Un Dessin d'un beau caractere, exécuté á la plume & lavé de la Chine, représentant la Vierge tenant sur ses genoux l'Enfant-Jésus, qui semble regarder Saint Jean soutenu par Sainte Anne ; le fond offre sur la droite des ruines d'anciens monumens, oú l'on voit Saint Joseph dans l'étable ; la gauche est terminée par des masses de paysages."	Dessin	"Vendu, 38 livres"
F-A2000	ANONYMOUS (Unknown)	"Quatre dessins, dont deux vues d'Italie, coloriées ; & deux grandes têtes ; par Seydelmann. (Sous ce no : Quatre dessins, dont deux vues d'Italie ; lot 162[b] par C.J.J. Seydelmann)"	Dessin	"Vendu, 71 livres"
F-A2000	"BELLA, STEFANO DELLA (Italian)"	"Onze Dessins, par Claude Lorrain, la Fage, Corneille, le Clerc, le Brun, Poussin, Labelle & autres. (Sous ce no : Dessins)"	Dessin	"Vendu, 15 livres"
F-A2000	"BOTH, JAN (Dutch)"	"Un Dessin d'un effet piquant, représentant un Paysage avec figures & animaux, lavé á l'encre de la Chine sur papier blanc."	Dessin	"Vendu, 17 livres"
F-A2000	BOUCHARDON (French)	"Vingt Dessins par MM. Robert & Lagrénée le jeune, Bouchardon, Reitier, Fraguonard, Gibelin, corneille & autres. (Sous ce no : Dessins)"	Dessin	"Vendu, 24 livres"
F-A2000	BOUCHARDON (French)	"Onze Belles Têtes d'études, dont plusieurs d'Animaux, par Boucher, Huet, Bouchardon, Deshaye, Greuze, &c. (Sous ce no : Dessins)"	Dessin	"Vendu, 4 livres"
F-A2000	"BOUCHER, FRANÇOIS (French)"	"Trois Dessins de François Boucher, représentant des femmes couchées ; qux trois crayons."	Dessin	"Vendu, 33 livres"
F-A2000	"BOUCHER, FRANÇOIS (French)"	"Un dessin aux trois crayons, représentant une Marchande de Bouquets."	Dessin	Inconnue
F-A2000	"BOUCHER, FRANÇOIS (French)"	"Six dessins, par Jean-Paul Panini, Robert, Natoire & Boucher. (Sous ce no : Dessins)"	Dessin	"Vendu, 36 livres"
F-A2000	"BOUCHER, FRANÇOIS (French)"	"Six Dessins, par le même, de différens Sujets, les uns au bistre, & les autres sur papier bleu & blanc."	Dessin	"Vendu, 18 livres"
F-A2000	"BOUCHER, FRANÇOIS (French)"	"Onze Dessins Académies, par Deshayes, Boucher, Natoire, carle, Vanloo, & autres. Ce lot distingue est du plus beau & du meilleur choix de ces maîtres. (Sous ce no : Dessins)"	Dessin	"Vendu, 51 livres"
F-A2000	BRILART UNIDENTIFIED (Unknown)	"Vingt-cinq Dessins, Études & Académies, par César Vanloo, Jouvenet, Boucher, Brilart, de Poilly, boulogne, Lorrain, &c. (Sous ce no : Dessins)"	Dessin	"Vendu, 13 livres"
F-A2000	"COCHIN, CHARLES-NICOLAS II (French)"	"Vingt-six dessins par Gravelot, Cochin, Eisen, ayant servi de vignette á plusieurs ouvrages. (Sous ce no : Dessins)"	Dessin	"Vendu, 15 livres"
F-A2000	"COLLIN DE VERMONT, HYACINTHE (French)"	"Six Dessins, par Bertin, la Fosse, Colin de Vermond, Natoire, la Grenée le jeune, Vincent ; ces Dessins sont finis & précieux. (Sous ce no : Un dessin)"	Dessin	"Vendu, 24 livres"
F-A2000	"COURTOIS, JACQUES IL BORGOGNONE (French)"	"Neuf dessins Italiens par le Bourguignon, Tintoret, Jules Romain, Baroche, &c. &c. (Sous ce no : Dessins)"	Dessin	"Vendu, 9 livres"
F-A2000	COYPEL (French)	"Onze Dessins, par Colin de Vermond, Coypel, Giblin, & autres. (Sous ce no : Dessins)"	Dessin	"Vendu, 12 livres"
F-A2000	"DANDRÉ-BARDON, MICHEL FRANÇOIS (French)"	"Cent Dessins, études par Dandré Barbon, Boncher, Vanloo, Deshayes, Gillot, & autres bons Maîtres. (Sous ce no : Dessins)"	Dessin	"Vendu, 24 livres"
F-A2000	"DIETRICH, CHRISTIAN WILHELM ERNST (German)"	"Un dessin á la plume & au bistre, représentant un Paysage, vue d'un site montagneux, orné de plusieurs figures & animaux sur différents plans. Ce dessin piquant d'effet est sur papier blanc."	Dessin	Inconnue
F-A2000	"DIETRICH, CHRISTIAN WILHELM ERNST (German)"	"Quinze dessins Flamands & hollandois, par Vandik, Dietricy & autres. (Souys ce no : Dessins)"	Dessin	"Vendu, 14 livres"
F-A2000	"FAVANNE, HENRI ANTOINE DE (French)"	"Treize Dessins, par Wocher, Casanova, le Prince, Pillement, César, Vanloo, Savane, Caze, &c. (Sous ce no : Dessins)"	Dessin	"Vendu, 49 livres"
F-A2000	FIXON (French)	"Deux dessins représentant des Paysages, enrichis d'animaux & de Cavaliers, dessinés au bistre, rehaussé de blanc sur papier gris."	Dessin	"Vendu, 18 livres"
F-A2000	"FONTEBASSO, FRANCESCO (Italian)"	"Seize dessins de l'Histoire de Renaud & d'Armide, par Fontebase, faits á la plume sur papier blanc, imitant l'estampe, contenus en un volume."	Dessin	"Vendu, 13 livres"
F-A2000	"GIBELIN, ESPRIT-ANTOINE (French)"	"Six Dessins par M. Gibelin, dont quatre coloriés & deux au bistre & á la plume réhaussé de blanc reprd'esentant deux sujets de l'histoire Romaine sur la mort de Cleopâtre. (Sous ce no : Deux dessins)"	Dessin	"Vendu, 18 livres"
