Catalogue No.	Sale Year
F-A2000	1790
F-A2001	1790
F-A2002	1790
F-A2003	1790
F-A2004	1790
F-A2005	1790
F-A2006	1790
F-A2007	1790
F-A2008	1790
F-A2009	1790
F-A2010	1790
F-A2011	1790
F-A2012	1790
F-A2013	1790
F-A2014	1790
F-A2015	1790
F-A2016	1790
F-A2017	1790
F-A2018	1791
F-A2019	1791
F-A2020	1791
F-A2021	1791
F-A2022	1791
F-A2023	1791
F-A2024	1791
F-A2025	1791
F-A2026	1791
F-A2027	1791
F-A2028	1791
F-A2029	1791
F-A2030	1791
F-A2031	1791
F-A2032	1791
F-A2033	1791
F-A2034	1791
F-A2035	1791
F-A2036	1791
F-A2037	1791
F-A2038	1792
F-A2039	1792
F-A2040	1792
F-A2041	1792
F-A2042	1792
F-A2043	1792
F-A2044	1792
F-A2045	1792
F-A2046	1792
F-A2047	1792
F-A2048	1792
F-A2049	1792
F-A2050	1792
F-A2051	1792
F-A2051a	1792
F-A2052	1792
F-A2052a	1792
F-A2053	1792
F-A2054	1792
F-A2054a	1792
F-A251	1791
F-A252	1791
F-A258	1792
F-A276	1790
F-A277	1790
F-A279	1792
F-A290	1790
F-A294	1790
